pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,habitable
12.44199,1547.8321,0.0494,0.23,459.542,5588.0,1.21,1.24,0
12.89035,785.0401,0.0414,0.02,325.569,5302.0,1.11,1.13,0
15.334,664.237,0.0232,0.106,2796.2342,5905.0,1.203,1.13,0
14.5717,238.3725,0.04651,0.07,1294.929,6373.0,1.38,1.37,0
12.722215,180.84527,0.0466,0.023,325.0,5519.0,0.919,1.012,0
7.06167,22.2481,0.0479,0.12,185.0743,5079.0,0.87,1.12,0
11.43,197.05,0.04,0.0,336.0384,5316.0,0.864673,0.916,0
13.585,198.953,0.0434,0.051,554.7122,5680.0,1.103,1.025,0
13.11453,279.6904,0.0667,0.09,433.0,6087.0,1.3,1.45,0
10.53646,206.5895,0.03866,0.0,176.587,5185.0,0.87,1.06,0
12.21781,721.4741,0.061,0.25,746.9025,6065.0,1.39,1.31,0
22.19382,216.1244,0.03397,0.159,1841.0,6001.0,1.367,1.132,0
20.73665,292.4036,0.04995,0.0,1701.38,6446.0,1.79,1.82,0
13.417173,1058.3739,0.06774,0.432,433.78,6442.0,1.53,1.392,0
14.930388,335.62848,0.04978,0.02,999.6688,6096.0,1.435,1.236,0
14.313893,587.413406,0.0241,0.063,1821.0,5620.0,1.041,1.03,0
13.204,371.528,0.0379,0.058,412.3914,5500.0,0.877,0.929,0
9.247,84.857,0.0523,0.067,243.0337,5330.0,0.923,0.886,0
17.609,190.372,0.0509,0.0,1915.6934,6430.0,1.625,1.404,0
14.28,213.255,0.04438,0.0,1438.0,5860.0,1.596,1.248,0
17.03768,152.5584,0.0608,0.0,1747.4151,6080.0,1.94,1.03,0
22.97845,378.2177,0.04258,0.0,2485.0721,6390.0,2.05,2.56,0
14.348,331.801,0.0575,0.0,684.0973,5743.0,1.53,1.178,0
13.63,210.395,0.0444,0.0,521.877,5693.0,1.08,1.03,0
13.922,111.871,0.0507,0.044,185.119,5295.0,0.949,0.942,0
15.984,283.492,0.0452,0.049,1052.239,6330.0,1.319,1.259,0
14.392,156.684,0.0577,0.123,1405.4798,6120.0,1.396,1.284,0
17.82231,699.226,0.04378,0.0,4392.03,6820.0,2.06,2.22,0
13.56289,311.4734,0.04073,0.0,850.6754,5960.0,1.12,1.04,0
14.437192,429.0705,0.0453,0.115,2108.4362,6280.0,1.698,1.273,0
13.50682174,97.57332095,0.05042,0.07,310.0,5453.0,0.995,0.961,0
11.309881,259.98494,0.03694,0.047,227.759,5131.0,0.893,0.887,0
14.773462,471.65972,0.03159,0.134,1611.53,5956.0,1.209,1.093,0
10.581296,241.5508,0.04117,0.074,88.6713,4390.0,0.617,0.645,0
14.84069045,189.42573057,0.04628,0.17,583.0,5804.0,1.105,1.028,0
16.92559,734.1873,0.0423,0.29,3515.0,6566.0,1.47,1.42,0
19.50366,448.1403,0.0406,0.0,2726.6328,6330.0,1.85,2.77,0
14.93036229,118.2321674,0.04994,0.073,1146.0,6078.0,1.53,1.031,0
12.58768533,489.45574678,0.05064,0.03,441.4,5678.0,1.1038,1.008,0
16.58932,419.5356,0.05239,0.0,1099.44,6570.0,1.62,1.79,0
18.28184752,182.43350562,0.06277,0.25,1634.0,6212.0,2.197,1.435,0
10.07687365,335.9446262,0.0301,0.113,849.5,5587.0,0.938,1.004,0
12.02723629,241.86741773,0.03772,0.101,867.2,5629.0,1.17,1.023,0
12.5428494,195.1466419,0.04294,0.069,387.4,5400.0,0.9661,0.925,0
19.08889413,184.34047606,0.05387,0.101,1611.0,6457.0,1.735,1.298,0
18.05766791,176.07693748,0.04042,0.304,1821.0,5872.0,1.666,1.297,0
17.82231,248.86089,0.04363,0.09,1939.51,6002.0,1.881,1.255,0
23.370765,108.0622,0.06505,0.0,2029.17,6406.0,2.546,1.642,0
12.016048,230.10892,0.02996,0.041,184.8,4508.0,0.6701,0.6785,0
18.786284,1137.8314,0.06555,0.0,2320.18,7394.0,1.926,1.648,0
16.92559,584.8072,0.03809,0.0,4353.408,6389.0,2.0,1.56,0
20.96083,2154.8874,0.04739,0.0,5405.6,8450.0,1.858,1.89,0
15.6926,406.8224,0.04496,0.0,1519.9645,6200.0,1.57,1.27,0
15.614137,238.05467,0.05287,0.084,931.0,6350.0,1.338,1.281,0
14.594,589.55,0.0444,0.12,489.9461,5870.0,1.038,0.986,0
13.585308,172.58169,0.04057,0.181,315.9871,5523.0,0.887,0.962,0
11.646151,340.39593,0.03815,0.142,505.884,5346.0,0.933,0.967,0
14.5717,1039.3041,0.03744,0.0,994.8106,5738.0,1.238,0.97,0
8.709393,425.25654,0.1308,0.029,72.7,5846.0,1.091,1.131,0
14.896761,629.144485,0.0174,0.166,2990.0,5600.0,1.02,1.037,0
12.57647635,435.42491759,0.02317,0.0,950.0563,5227.0,0.876,0.904,0
10.682177,870.8542,0.05025,0.079,111.299,4803.0,0.689,0.759,0
15.636555,718.2958,0.0238,0.0,2706.9606,6125.0,1.12,1.07,0
14.12334,194.82979,0.05163,0.176,454.8721,5715.0,1.107,0.994,0
19.61575,206.5895,0.04735,0.245,2236.5716,6071.0,2.04,1.299,0
16.8135,168.4499,0.0611,0.581,1342.5733,6438.0,1.74,1.415,0
15.48,340.382,0.0485,0.0,1212.0044,6351.0,1.404,1.209,0
13.170575,224.38798,0.04354,0.096,718.9097,5943.0,1.061,1.093,0
18.38276,279.6904,0.0478,0.233,1619.406,6050.0,1.87,1.275,0
14.000041,292.4036,0.04024,0.471,614.5934,5700.0,1.097,1.099,0
13.78707,378.85336,0.03727,0.08,757.1284,5659.0,1.022,1.062,0
16.02887,299.07803,0.03166,0.108,691.8428,5380.0,0.98,0.955,0
16.409976,388.38826,0.03199,0.306,2440.7,6300.0,1.433,1.317,0
12.92,1022.14128,0.0523,0.105,561.0,5950.0,1.1,1.1,0
6.792654,31.46517,0.04913,0.0,229.7,5326.0,0.877,0.843,0
6.882326,23.51942,0.05036,0.0,464.7,5732.0,1.105,0.89,0
17.59813,200.2329,0.06007,0.275,1547.1014,6572.0,1.621,1.379,0
11.433,420.471,0.0362,0.013,558.828,5403.0,0.925,1.001,0
17.71022,505.3497,0.04997,0.312,3163.3762,6460.0,2.26,1.561,0
14.90797,3082.951,0.0583,0.38,1300.3125,6424.0,1.71,1.496,0
15.6926,597.5204,0.03689,0.229,1637.2058,6060.0,1.48,1.273,0
13.22662,82.95363,0.04944,0.173,192.2328,5099.0,0.812,0.837,0
11.960003,177.9848,0.03649,0.279,306.417,5080.0,0.847,0.86,0
14.414774,222.481,0.05511,0.24,811.3504,6450.0,1.315,1.272,0
